,,Total,2165,DIV 4,,,,,,DIV 7,,,,,,DIV 14,,,,,,DIV 21,,,,,,DIV 28,,,,,
Q3V3R4,Integrin alpha-1,Itga1,,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,2,0.5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,3,0.5,5,0.5,1
Q62469,Integrin alpha-2,Itga2,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,2,0.5,1,0.5,1,0.5,1,0.5,0.5,0.5,0.5,0.5,1,0.5,3
Q62470,Integrin alpha-3,Itga3,,0.5,0.5,0.5,0.5,0.5,2,0.5,2,0.5,1,0.5,1,0.5,2,0.5,3,0.5,3,0.5,2,0.5,2,0.5,1,0.5,1,0.5,1,0.5,1
P11688,Integrin alpha-5,Itga5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,3,0.5,8,0.5,0.5,0.5,2,0.5,5,0.5,1,0.5,2,0.5,4,0.5,7
Q61739,Integrin alpha-6,Itga6,,0.5,0.5,0.5,0.5,0.5,1,0.5,4,0.5,1,0.5,0.5,0.5,7,0.5,10,0.5,4,0.5,13,0.5,10,0.5,0.5,0.5,6,0.5,11,0.5,2
Q61738,Integrin alpha-7,Itga7,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,#N/A,#N/A,0.5,1,#N/A,#N/A,#N/A,#N/A
P43406,Integrin alpha-V,Itgav,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,11,0.5,1,0.5,2,1,33,1,41,0.5,19,0.5,41,0.5,28,0.5,18,1,34,0.5,37,0.5,32
P09055,Integrin beta-1,Itgb1,,0.5,2,0.5,3,0.5,7,0.5,15,0.5,11,0.5,6,1,15,1,20,0.5,11,0.5,17,0.5,21,0.5,9,0.5,19,0.5,22,0.5,14
A2A863,Integrin beta-4,Itgb4,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,1,#N/A,#N/A,#N/A,#N/A
O70309,Integrin beta-5,Itgb5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,0.5,0.5,0.5,0.5,0.5,8,0.5,21,0.5,6,0.5,17,0.5,12,0.5,3,0.5,18,0.5,20,0.5,11
Q8BJD1,Inter-alpha-trypsin inhibitor heavy chain H5,Itih5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,4,0.5,1,0.5,5,0.5,7,0.5,0.5,0.5,10,0.5,11,0.5,2
Q61500,Integral membrane protein 2A,Itm2a,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
O89051,Integral membrane protein 2B,Itm2b,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,1,0.5,0.5,1,3,0.5,2,0.5,2,0.5,3,0.5,0.5,0.5,3,0.5,2,0.5,2,2,3
Q91VK4,Integral membrane protein 2C,Itm2c,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,1,0.5,2,0.5,2,0.5,4,0.5,5,2,4,2,9,1,5,1,5,1,11
Q9D892,Inosine triphosphate pyrophosphatase,Itpa,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,1,1,0.5,0.5,0.5,0.5,1,1,3,1,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,#N/A
Q9JHI5,"Isovaleryl-CoA dehydrogenase, mitochondrial",Ivd,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,0.5,0.5,2,1,2,0.5
Q9QXX0,Protein jagged-1,Jag1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,2,0.5,0.5,0.5,2,0.5,2,0.5,0.5,0.5,1,0.5,0.5,0.5,1,0.5,1,0.5,4,0.5,4
Q9QYE5,Protein jagged-2,Jag2,,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,3,0.5,1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,1
Q5XKN4,Protein jagunal homolog 1,Jagn1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q9D8B7,Junctional adhesion molecule C,Jam3,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,0.5
Q02257,Junction plakoglobin,Jup,,0.5,7,0.5,4,0.5,10,1,27,0.5,21,0.5,12,1,29,1,28,0.5,23,0.5,27,0.5,31,0.5,13,0.5,27,0.5,20,0.5,7
Q80UY2,E3 ubiquitin-protein ligase KCMF1,Kcmf1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q61423,Potassium voltage-gated channel subfamily A member 4,Kcna4,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,1
Q61923,Potassium voltage-gated channel subfamily A member 6,Kcna6,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,2,0.5,0.5,0.5,0.5,0.5,1
Q9D808,Potassium voltage-gated channel subfamily E member 2,Kcne2,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P63250,G protein-activated inward rectifier potassium channel 1,Kcnj3,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q08460,Calcium-activated potassium channel subunit alpha-1,Kcnma1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,1,0.5,0.5,0.5,2,0.5,0.5,0.5,2,0.5,1
P58390,Small conductance calcium-activated potassium channel protein 2,Kcnn2,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q6WVG3,BTB/POZ domain-containing protein KCTD12,Kctd12,,0.5,4,0.5,2,0.5,9,0.5,6,0.5,13,0.5,7,0.5,9,0.5,8,0.5,10,0.5,6,0.5,8,0.5,9,0.5,5,1,7,0.5,7
Q5DTY9,BTB/POZ domain-containing protein KCTD16,Kctd16,,0.5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,0.5,0.5,1,0.5,7,0.5,0.5,0.5,4,0.5,1
Q99JH8,ER lumen protein-retaining receptor 1,Kdelr1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,1,0.5,#N/A,#N/A,#N/A,#N/A
Q80Y84,Lysine-specific demethylase 5B,Kdm5b,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q60749,"KH domain-containing, RNA-binding, signal transduction-associated protein 1",Khdrbs1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,2,2,0.5,1,2,1,1,1,1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5
Q3U0V1,Far upstream element-binding protein 2,Khsrp,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q68FD9,UPF0606 protein KIAA1549,Kiaa1549,,0.5,0.5,0.5,0.5,0.5,5,0.5,13,0.5,6,0.5,3,0.5,16,0.5,15,0.5,13,0.5,8,0.5,11,0.5,13,0.5,11,0.5,12,0.5,14
P33173,Kinesin-like protein KIF1A,Kif1a,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P28740,Kinesin-like protein KIF2A,Kif2a,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Q61768,Kinesin-1 heavy chain,Kif5b,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,3,1,0.5,0.5,0.5,0.5,1,1,0.5,0.5,#N/A,#N/A,1,0.5,#N/A,#N/A,#N/A,#N/A
P28738,Kinesin heavy chain isoform 5C,Kif5c,,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,2,1,4,1,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5,0.5
Q80W68,Kin of IRRE-like protein 1,Kirrel1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,0.5,0.5,0.5,1,0.5,2,0.5,0.5,0.5,4,0.5,3,0.5,0.5
Q8BR86,Kin of IRRE-like protein 3,Kirrel3,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,0.5,2,0.5,0.5,0.5,6,0.5,3,0.5,4,0.5,3,0.5,1,0.5,12,0.5,5,0.5,3,0.5,5
P05532,Mast/stem cell growth factor receptor Kit,Kit,,0.5,0.5,0.5,0.5,0.5,3,0.5,0.5,0.5,12,0.5,3,0.5,1,0.5,0.5,0.5,5,0.5,2,0.5,0.5,0.5,10,0.5,0.5,0.5,5,0.5,1
O88447,Kinesin light chain 1,Klc1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,2,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q921I2,Kelch domain-containing protein 4,Klhdc4,,0.5,0.5,1,1,1,0.5,6,3,1,1,1,0.5,1,1,1,2,1,1,3,1,1,0.5,0.5,0.5,1,0.5,1,1,1,1
Q9D5V2,Kelch-like protein 10,Klhl10,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q6GQU2,Kelch-like protein 23,Klhl23,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q6PDK2,Histone-lysine N-methyltransferase 2D,Kmt2d,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5
P52293,Importin subunit alpha-1,Kpna2,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
O35344,Importin subunit alpha-4,Kpna3,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,2,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
O35343,Importin subunit alpha-3,Kpna4,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P70168,Importin subunit beta-1,Kpnb1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,7,0.5,0.5,0.5,0.5,1,1,0.5,3,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
P32883,GTPase KRas,Kras,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,2,3,2,1,1,1,1,3,3,2,2,3,3,2,3,2,0.5,2
P04104,"Keratin, type II cytoskeletal 1",Krt1,,3,6,9,5,4,3,3,4,6,3,4,6,2,2,5,3,6,6,2,3,6,2,7,8,6,2,4,3,5,4
P02535,"Keratin, type I cytoskeletal 10",Krt10,,7,9,8,7,5,1,7,6,6,7,3,5,2,4,8,4,8,4,3,1,5,2,11,11,5,4,5,1,5,3
Q64291,"Keratin, type I cytoskeletal 12",Krt12,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P08730,"Keratin, type I cytoskeletal 13",Krt13,,2,3,3,2,1,0.5,2,3,2,3,1,2,0.5,1,2,1,4,2,1,0.5,1,1,5,7,2,1,2,0.5,2,1
Q61781,"Keratin, type I cytoskeletal 14",Krt14,,3,4,5,6,4,2,8,3,3,4,3,2,1,3,10,5,5,6,3,0.5,4,1,9,6,4,2,2,0.5,2,2
Q61414,"Keratin, type I cytoskeletal 15",Krt15,,3,4,4,4,4,2,4,3,3,5,3,2,1,2,4,3,4,4,2,0.5,1,1,6,7,2,2,2,0.5,2,2
Q9Z2K1,"Keratin, type I cytoskeletal 16",Krt16,,3,3,3,3,3,1,2,2,2,3,2,2,1,2,5,3,3,5,2,0.5,1,1,6,6,2,2,2,0.5,2,2
Q9QWL7,"Keratin, type I cytoskeletal 17",Krt17,,1,2,3,3,2,1,7,1,1,3,2,1,0.5,1,6,1,2,4,1,0.5,4,1,7,7,4,1,1,0.5,1,1
P05784,"Keratin, type I cytoskeletal 18",Krt18,,1,1,1,1,1,0.5,2,1,0.5,2,1,1,0.5,1,1,1,2,1,1,0.5,0.5,0.5,3,3,1,1,1,0.5,1,1
P19001,"Keratin, type I cytoskeletal 19",Krt19,,1,2,2,2,2,1,2,1,1,3,2,1,0.5,1,2,1,2,1,1,0.5,0.5,1,4,5,1,1,1,0.5,1,1
Q3TTY5,"Keratin, type II cytoskeletal 2 epidermal",Krt2,,4,7,7,8,4,2,14,8,5,4,4,4,4,3,10,4,7,5,4,2,8,3,8,11,5,4,5,1,4,5
Q61765,"Keratin, type I cuticular Ha1",Krt31,,1,1,1,1,1,0.5,0.5,0.5,0.5,1,1,1,0.5,1,1,3,1,1,5,0.5,0.5,0.5,3,2,2,1,1,0.5,1,1
Q8K0Y2,"Keratin, type I cuticular Ha3-I",Krt33a,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,0.5,4,0.5,0.5,0.5,1,0.5,1,0.5,0.5,0.5,0.5,0.5
Q61897,"Keratin, type I cuticular Ha3-II",Krt33b,,1,1,1,1,1,0.5,0.5,0.5,0.5,1,1,1,0.5,1,1,2,1,1,5,0.5,0.5,0.5,3,2,2,1,1,0.5,1,1
Q9D646,"Keratin, type I cuticular Ha4",Krt34,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,2,0.5,0.5,4,0.5,0.5,0.5,#N/A,#N/A,1,0.5,#N/A,#N/A,#N/A,#N/A
Q497I4,"Keratin, type I cuticular Ha5",Krt35,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,1,1,3,1,1,1,0.5,0.5,0.5,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,#N/A
B1AQ75,"Keratin, type I cuticular Ha6",Krt36,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,1,1,1,1,1,3,0.5,0.5,0.5,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,#N/A
P07744,"Keratin, type II cytoskeletal 4",Krt4,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7,3,#N/A,#N/A,#N/A,#N/A,3,4,7,2,4,1,3,1,4,1,#N/A,#N/A,2,2,#N/A,#N/A,#N/A,#N/A
Q6IFX3,"Keratin, type I cytoskeletal 40",Krt40,,1,1,1,1,1,0.5,0.5,0.5,0.5,1,1,1,0.5,1,1,2,1,1,3,0.5,0.5,0.5,3,2,1,1,1,0.5,1,1
Q6IFX2,"Keratin, type I cytoskeletal 42",Krt42,,1,3,3,3,2,1,6,0.5,1,2,2,1,0.5,1,5,1,1,3,1,0.5,2,1,11,9,2,1,1,0.5,1,1
Q922U2,"Keratin, type II cytoskeletal 5",Krt5,,7,10,11,14,5,3,19,13,8,3,6,6,5,10,14,4,14,5,6,3,12,2,16,8,5,4,7,2,4,4
P50446,"Keratin, type II cytoskeletal 6A",Krt6a,,4,4,5,9,4,2,12,7,4,2,4,4,4,6,13,3,8,3,4,2,9,3,11,6,3,3,4,2,3,3
Q9Z331,"Keratin, type II cytoskeletal 6B",Krt6b,,4,4,5,8,4,2,12,7,4,2,4,3,4,6,12,3,7,3,4,2,8,3,10,4,3,3,4,2,3,3
Q9DCV7,"Keratin, type II cytoskeletal 7",Krt7,,2,3,3,3,3,0.5,2,4,3,2,4,3,3,6,6,4,3,3,2,3,4,3,4,3,4,14,5,4,1,1
Q9R0H5,"Keratin, type II cytoskeletal 71",Krt71,,2,3,2,2,2,1,1,2,2,2,2,3,1,1,2,2,2,4,1,2,3,2,4,4,3,2,2,2,2,2
Q6IME9,"Keratin, type II cytoskeletal 72",Krt72,,0.5,1,1,2,2,0.5,0.5,0.5,0.5,2,1,2,0.5,1,1,2,2,2,0.5,1,2,2,3,3,1,1,1,1,1,1
Q6NXH9,"Keratin, type II cytoskeletal 73",Krt73,,3,5,4,5,4,1,7,6,5,3,4,6,6,6,8,5,6,5,5,3,8,4,8,5,7,3,4,3,2,2
Q6IFZ9,"Keratin, type II cytoskeletal 74",Krt74,,1,3,2,2,2,1,1,2,2,2,2,3,1,2,2,2,2,3,1,3,4,2,3,3,5,4,4,2,2,2
Q8BGZ7,"Keratin, type II cytoskeletal 75",Krt75,,4,4,6,8,4,2,13,7,4,2,4,3,4,6,12,3,7,3,4,2,8,3,11,4,3,3,4,2,3,3
Q3UV17,"Keratin, type II cytoskeletal 2 oral",Krt76,,3,4,3,5,3,1,9,4,5,2,3,2,3,5,8,3,5,2,4,1,5,1,7,2,3,3,3,1,1,1
Q6IFZ6,"Keratin, type II cytoskeletal 1b",Krt77,,3,5,5,5,4,3,4,8,3,3,4,5,2,4,6,3,8,4,3,3,6,2,7,6,5,3,5,2,4,4
Q8VED5,"Keratin, type II cytoskeletal 79",Krt79,,3,4,5,5,4,3,3,8,3,3,4,4,2,6,8,3,8,3,3,2,6,3,7,6,4,4,6,2,4,4
P11679,"Keratin, type II cytoskeletal 8",Krt8,,2,3,4,4,3,2,3,8,2,2,4,3,2,6,7,3,7,2,3,3,5,1,6,4,3,14,6,3,3,3
Q9ERE2,"Keratin, type II cuticular Hb1",Krt81,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,2,0.5,2,0.5,0.5,9,0.5,0.5,0.5,#N/A,#N/A,2,1,#N/A,#N/A,#N/A,#N/A
Q99M74,"Keratin, type II cuticular Hb2",Krt82,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,0.5,0.5,#N/A,#N/A,1,0.5,#N/A,#N/A,#N/A,#N/A
Q99M73,"Keratin, type II cuticular Hb4",Krt84,,0.5,1,1,1,1,0.5,0.5,0.5,0.5,1,1,1,0.5,2,2,1,1,1,0.5,1,1,1,1,1,1,2,2,1,1,1
Q9Z2T6,"Keratin, type II cuticular Hb5",Krt85,,2,2,2,2,2,0.5,2,2,2,1,2,2,2,5,4,6,2,2,11,1,2,2,3,2,7,2,3,1,0.5,0.5
P97861,"Keratin, type II cuticular Hb6",Krt86,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,2,0.5,0.5,9,0.5,0.5,0.5,1,0.5,2,1,0.5,0.5,0.5,0.5
Q6IMF0,"Keratin, type II cuticular 87",Krt87,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,2,0.5,2,0.5,0.5,8,0.5,0.5,0.5,#N/A,#N/A,2,1,#N/A,#N/A,#N/A,#N/A
P11627,Neural cell adhesion molecule L1,L1cam,,0.5,2,0.5,0.5,0.5,7,0.5,42,0.5,24,0.5,9,2,90,1,66,0.5,68,0.5,72,0.5,62,0.5,52,1,58,0.5,33,1,45
Q91YP0,"L-2-hydroxyglutarate dehydrogenase, mitochondrial",L2hgdh,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,1,#N/A,#N/A,#N/A,#N/A
Q61790,Lymphocyte activation gene 3 protein,Lag3,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P19137,Laminin subunit alpha-1,Lama1,,0.5,2,0.5,0.5,5,131,17,190,14,231,4,148,6,57,16,132,0.5,4,0.5,35,2,54,2,51,0.5,33,14,22,0.5,31
Q60675,Laminin subunit alpha-2,Lama2,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,1,0.5,1,0.5,0.5,0.5,0.5,0.5,1,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P97927,Laminin subunit alpha-4,Lama4,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,2,#N/A,#N/A,#N/A,#N/A,0.5,1,0.5,5,0.5,0.5,0.5,0.5,0.5,4,#N/A,#N/A,0.5,1,#N/A,#N/A,#N/A,#N/A
Q61001,Laminin subunit alpha-5,Lama5,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,1,#N/A,#N/A,#N/A,#N/A,0.5,3,0.5,8,0.5,3,0.5,3,0.5,1,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P02469,Laminin subunit beta-1,Lamb1,,0.5,0.5,0.5,0.5,8,96,15,118,18,146,2,110,3,42,12,74,0.5,3,0.5,28,0.5,31,0.5,51,0.5,30,17,30,0.5,33
Q61292,Laminin subunit beta-2,Lamb2,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,5,#N/A,#N/A,#N/A,#N/A,0.5,5,1,7,0.5,0.5,1,2,0.5,2,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P02468,Laminin subunit gamma-1,Lamc1,,0.5,2,0.5,0.5,3,88,9,107,11,145,2,102,3,37,7,96,0.5,5,0.5,25,0.5,41,3,43,0.5,28,10,20,0.5,37
P17047,Lysosome-associated membrane glycoprotein 2,Lamp2,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q9JJK2,LanC-like protein 2,Lancl2,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Q9CPY7,Cytosol aminopeptidase,Lap3,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,2,1,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q05CL8,La-related protein 7,Larp7,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,1,#N/A,#N/A,#N/A,#N/A,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q8BMJ2,"Leucine--tRNA ligase, cytoplasmic",Lars,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,1,0.5,0.5,0.5
Q61792,LIM and SH3 domain protein 1,Lasp1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,1,0.5,0.5,1,1,3,2,0.5,0.5,1,0.5,1,1,0.5,0.5
